"Score","Group"
72.6371461206867,"With LLM"
74.6189350631003,"With LLM"
85.3522498848947,"With LLM"
76.4230503485475,"With LLM"
76.7757264109657,"With LLM"
86.2903899212997,"With LLM"
78.7654972359352,"With LLM"
68.4096325923608,"With LLM"
71.8788828886388,"With LLM"
73.3260281794003,"With LLM"
83.3444907846368,"With LLM"
78.1588829623442,"With LLM"
78.4046287035643,"With LLM"
76.6640962956707,"With LLM"
72.6649531914755,"With LLM"
86.7214788208185,"With LLM"
78.9871028693754,"With LLM"
64.2002970602222,"With LLM"
80.2081354093821,"With LLM"
73.1632515536324,"With LLM"
69.5930577640789,"With LLM"
74.6921505120502,"With LLM"
69.8439733101566,"With LLM"
71.6266526242532,"With LLM"
72.2497643929045,"With LLM"
65.8798401355455,"With LLM"
81.0267222669671,"With LLM"
76.9202387070191,"With LLM"
69.1711783779283,"With LLM"
83.5228895264196,"With LLM"
78.5587853288609,"With LLM"
74.2295711020464,"With LLM"
81.3707539662701,"With LLM"
81.2688009251982,"With LLM"
80.9294864898249,"With LLM"
80.1318415246005,"With LLM"
79.3235059212255,"With LLM"
75.6285297365397,"With LLM"
74.1642240175605,"With LLM"
73.7171739939257,"With LLM"
71.8317581264769,"With LLM"
74.7524963318824,"With LLM"
68.4076218905904,"With LLM"
89.0137357920311,"With LLM"
83.2477719898299,"With LLM"
69.2613485007799,"With LLM"
73.5826909882055,"With LLM"
73.2000678782607,"With LLM"
80.6797907100179,"With LLM"
75.499785601169,"With LLM"
77.5199110839685,"With LLM"
75.8287194679078,"With LLM"
75.7427772562521,"With LLM"
84.2116137040867,"With LLM"
74.6453740860444,"With LLM"
85.0988236265772,"With LLM"
66.7074831746187,"With LLM"
79.5076824978164,"With LLM"
76.7431254630677,"With LLM"
77.2956494124638,"With LLM"
78.2778368965593,"With LLM"
72.9860592813442,"With LLM"
74.0007556979835,"With LLM"
69.8885477013575,"With LLM"
69.5692526411465,"With LLM"
77.8211718484255,"With LLM"
78.6892586717766,"With LLM"
76.318025360383,"With LLM"
81.5336048072784,"With LLM"
88.3005081137629,"With LLM"
73.0538130036608,"With LLM"
62.1449867461551,"With LLM"
82.0344311467735,"With LLM"
71.7447954245056,"With LLM"
71.8719483011959,"With LLM"
82.1534282181802,"With LLM"
74.291361957694,"With LLM"
68.6756937264728,"With LLM"
77.0878208784949,"With LLM"
75.1666518253657,"With LLM"
76.0345851153993,"With LLM"
78.311682406758,"With LLM"
73.7760398092455,"With LLM"
79.866259291113,"With LLM"
74.6770806290875,"With LLM"
77.9906917834942,"With LLM"
82.5810340788961,"With LLM"
78.6110889450028,"With LLM"
74.0444104868126,"With LLM"
82.8928457107066,"With LLM"
81.9610231357727,"With LLM"
79.2903817570484,"With LLM"
77.4323904106686,"With LLM"
72.2325635437638,"With LLM"
84.16391469118,"With LLM"
72.3984424771172,"With LLM"
89.1239979580995,"With LLM"
85.1956637571111,"With LLM"
74.5857978453971,"With LLM"
69.8414745981593,"With LLM"
69.0271540541049,"Conventional Resources"
75.7981859640957,"Conventional Resources"
72.2731568507634,"Conventional Resources"
71.5672018042159,"Conventional Resources"
67.3386700291449,"Conventional Resources"
73.6848059263376,"Conventional Resources"
68.5056687138005,"Conventional Resources"
62.324406443883,"Conventional Resources"
71.3384143579857,"Conventional Resources"
80.4329762634254,"Conventional Resources"
69.9725712617413,"Conventional Resources"
78.2557502555752,"Conventional Resources"
62.6748210419759,"Conventional Resources"
73.6110662413282,"Conventional Resources"
77.6358504276042,"Conventional Resources"
76.108073535167,"Conventional Resources"
74.7397333590426,"Conventional Resources"
69.5150579418624,"Conventional Resources"
68.0520695777649,"Conventional Resources"
66.8310984657656,"Conventional Resources"
74.8235261797009,"Conventional Resources"
67.3676777007064,"Conventional Resources"
70.5660978940953,"Conventional Resources"
72.2073546546123,"Conventional Resources"
86.9070340366254,"Conventional Resources"
69.4363506881318,"Conventional Resources"
75.647706005994,"Conventional Resources"
74.545725946946,"Conventional Resources"
67.2670035610891,"Conventional Resources"
73.5008433971348,"Conventional Resources"
84.1118560089634,"Conventional Resources"
77.1605283715545,"Conventional Resources"
