"Score","Group","Subgroup"
76.1976217672389,"With LLM","Attending"
77.8491125525836,"With LLM","Attending"
86.7935415707456,"With LLM","Attending"
79.3525419571229,"With LLM","Attending"
79.6464386758047,"With LLM","Attending"
87.5753249344164,"With LLM","Attending"
81.304581029946,"With LLM","Attending"
72.6746938269673,"With LLM","Attending"
75.5657357405324,"With LLM","Attending"
76.7716901495002,"With LLM","Attending"
85.1204089871973,"With LLM","Attending"
80.7990691352868,"With LLM","Attending"
81.0038572529703,"With LLM","Attending"
79.5534135797256,"With LLM","Attending"
76.2207943262296,"With LLM","Attending"
87.9345656840154,"With LLM","Attending"
81.4892523911462,"With LLM","Attending"
69.1669142168518,"With LLM","Attending"
82.5067795078184,"With LLM","Attending"
76.6360429613603,"With LLM","Attending"
73.6608814700658,"With LLM","Attending"
77.9101254267085,"With LLM","Attending"
73.8699777584638,"With LLM","Attending"
75.3555438535443,"With LLM","Attending"
75.8748036607537,"With LLM","Attending"
70.5665334462879,"With LLM","Attending"
83.1889352224726,"With LLM","Attending"
79.7668655891826,"With LLM","Attending"
73.3093153149403,"With LLM","Attending"
85.2690746053496,"With LLM","Attending"
81.1323211073841,"With LLM","Attending"
77.5246425850386,"With LLM","Attending"
83.4756283052251,"With LLM","Attending"
83.3906674376652,"With LLM","Attending"
83.1079054081874,"With LLM","Attending"
82.4432012705005,"With LLM","Attending"
81.769588267688,"With LLM","Attending"
78.6904414471164,"With LLM","Attending"
77.4701866813004,"With LLM","Attending"
77.0976449949381,"With LLM","Attending"
75.5264651053974,"With LLM","Attending"
77.960413609902,"With LLM","Attending"
72.6730182421587,"With LLM","Attending"
89.8447798266926,"With LLM","Attending"
85.0398099915249,"With LLM","Attending"
73.3844570839832,"With LLM","Attending"
76.9855758235046,"With LLM","Attending"
76.6667232318839,"With LLM","Attending"
82.8998255916816,"With LLM","Attending"
78.5831546676409,"With LLM","Attending"
76.5199110839685,"Conventional Resources","Attending"
74.8287194679078,"Conventional Resources","Attending"
74.7427772562521,"Conventional Resources","Attending"
83.2116137040867,"Conventional Resources","Attending"
73.6453740860444,"Conventional Resources","Attending"
84.0988236265772,"Conventional Resources","Attending"
65.7074831746187,"Conventional Resources","Attending"
78.5076824978164,"Conventional Resources","Attending"
75.7431254630677,"Conventional Resources","Attending"
76.2956494124638,"Conventional Resources","Attending"
77.2778368965593,"Conventional Resources","Attending"
71.9860592813442,"Conventional Resources","Attending"
73.0007556979835,"Conventional Resources","Attending"
68.8885477013575,"Conventional Resources","Attending"
68.5692526411465,"Conventional Resources","Attending"
76.8211718484255,"Conventional Resources","Attending"
77.6892586717766,"Conventional Resources","Attending"
75.318025360383,"Conventional Resources","Attending"
80.5336048072784,"Conventional Resources","Attending"
87.3005081137629,"Conventional Resources","Attending"
72.0538130036608,"Conventional Resources","Attending"
61.1449867461551,"Conventional Resources","Attending"
81.0344311467735,"Conventional Resources","Attending"
